direction,idx,byte_pos,predicted,actual
fwd,38,19,38,0
rev,38,19,218,0
fwd,39,0,47,214
rev,39,0,144,233
fwd,39,1,167,51
rev,39,1,103,3
fwd,39,2,53,73
rev,39,2,151,131
fwd,39,3,133,174
rev,39,3,136,95
fwd,39,4,75,233
rev,39,4,233,75
fwd,39,16,70,0
rev,39,16,186,0
fwd,39,17,150,0
rev,39,17,94,0
fwd,39,18,178,0
rev,39,18,78,0
fwd,39,19,38,0
rev,39,19,218,0
fwd,40,0,28,91
rev,40,0,21,214
fwd,40,1,183,204
rev,40,1,130,51
fwd,40,2,251,154
rev,40,2,232,73
fwd,40,3,212,134
rev,40,3,96,174
fwd,40,4,233,83
rev,40,4,83,233
fwd,40,5,0,1
rev,40,5,153,0
fwd,40,16,70,0
rev,40,16,186,0
fwd,40,17,150,0
rev,40,17,94,0
fwd,40,18,178,0
rev,40,18,78,0
fwd,40,19,38,0
rev,40,19,218,0
fwd,41,0,161,143
rev,41,0,73,91
fwd,41,1,26,141
rev,41,1,149,204
fwd,41,2,76,197
rev,41,2,19,154
fwd,41,3,172,33
rev,41,3,251,134
fwd,41,4,83,162
rev,41,4,162,83
fwd,41,5,169,2
rev,41,5,50,1
fwd,41,16,70,0
rev,41,16,186,0
fwd,41,17,150,0
rev,41,17,94,0
fwd,41,18,178,0
rev,41,18,78,0
fwd,41,19,38,0
rev,41,19,218,0
fwd,42,0,213,145
rev,42,0,75,143
fwd,42,1,181,197
rev,42,1,189,141
fwd,42,2,119,39
rev,42,2,117,197
fwd,42,3,71,59
rev,42,3,21,33
fwd,42,4,162,189
rev,42,4,189,162
fwd,42,5,82,6
rev,42,5,150,2
fwd,42,16,70,0
rev,42,16,186,0
fwd,42,17,150,0
rev,42,17,94,0
fwd,42,18,178,0
rev,42,18,78,0
fwd,42,19,38,0
rev,42,19,218,0
fwd,43,0,215,143
rev,43,0,73,145
fwd,43,1,157,53
rev,43,1,13,197
fwd,43,2,217,90
rev,43,2,168,39
fwd,43,3,97,179
rev,43,3,141,59
fwd,43,4,189,2
rev,43,4,2,189
fwd,43,5,246,14
rev,43,5,94,6
fwd,43,16,70,0
rev,43,16,186,0
fwd,43,17,150,0
rev,43,17,94,0
fwd,43,18,178,0
rev,43,18,78,0
fwd,43,19,38,0
rev,43,19,218,0
fwd,44,0,213,5
rev,44,0,191,143
fwd,44,1,109,60
rev,44,1,210,53
fwd,44,2,12,20
rev,44,2,98,90
fwd,44,3,217,202
rev,44,3,164,179
fwd,44,4,2,47
rev,44,4,47,2
fwd,44,5,62,18
rev,44,5,194,14
fwd,44,16,70,0
rev,44,16,186,0
fwd,44,17,150,0
rev,44,17,94,0
fwd,44,18,178,0
rev,44,18,78,0
fwd,44,19,38,0
rev,44,19,218,0
fwd,45,16,63,0
rev,45,16,193,0
fwd,45,17,129,0
rev,45,17,173,0
fwd,45,18,116,0
rev,45,18,140,0
fwd,45,19,185,0
rev,45,19,71,0
fwd,45,20,146,0
rev,45,20,110,0
fwd,45,21,76,0
rev,45,21,148,0
fwd,46,0,131,186
rev,46,0,123,68
fwd,46,1,56,60
rev,46,1,33,213
fwd,46,2,252,181
rev,46,2,65,136
fwd,46,3,60,16
rev,46,3,87,131
fwd,46,4,83,214
rev,46,4,68,193
fwd,46,5,170,108
rev,46,5,32,46
fwd,46,16,63,0
rev,46,16,193,0
fwd,46,17,129,0
rev,46,17,173,0
fwd,46,18,116,0
rev,46,18,140,0
fwd,46,19,185,0
rev,46,19,71,0
fwd,46,20,146,0
rev,46,20,110,0
fwd,46,21,76,0
rev,46,21,148,0
fwd,47,0,249,155
rev,47,0,92,186
fwd,47,1,213,59
rev,47,1,78,60
fwd,47,2,41,206
rev,47,2,90,181
fwd,47,3,201,215
rev,47,3,30,16
fwd,47,4,104,230
rev,47,4,84,214
fwd,47,5,152,173
rev,47,5,249,108
fwd,47,16,63,0
rev,47,16,193,0
fwd,47,17,129,0
rev,47,17,173,0
fwd,47,18,116,0
rev,47,18,140,0
fwd,47,19,185,0
rev,47,19,71,0
fwd,47,20,146,0
rev,47,20,110,0
fwd,47,21,76,0
rev,47,21,148,0
fwd,48,0,218,77
rev,48,0,14,155
fwd,48,1,122,95
rev,48,1,250,59
fwd,48,2,66,1
rev,48,2,141,206
fwd,48,3,144,107
rev,48,3,178,215
fwd,48,4,120,23
rev,48,4,133,230
fwd,48,5,129,116
rev,48,5,232,173
fwd,48,6,0,1
rev,48,6,1,0
fwd,48,16,63,0
rev,48,16,193,0
fwd,48,17,129,0
rev,48,17,173,0
fwd,48,18,116,0
rev,48,18,140,0
fwd,48,19,185,0
rev,48,19,71,0
fwd,48,20,146,0
rev,48,20,110,0
fwd,48,21,76,0
rev,48,21,148,0
fwd,49,0,140,84
rev,49,0,21,77
fwd,49,1,70,147
rev,49,1,214,95
fwd,49,2,117,46
rev,49,2,186,1
fwd,49,3,36,60
rev,49,3,131,107
fwd,49,4,169,212
rev,49,4,66,23
fwd,49,5,224,43
rev,49,5,71,116
fwd,49,6,1,2
rev,49,6,2,1
fwd,49,16,63,0
rev,49,16,193,0
fwd,49,17,129,0
rev,49,17,173,0
fwd,49,18,116,0
rev,49,18,140,0
fwd,49,19,185,0
rev,49,19,71,0
fwd,49,20,146,0
rev,49,20,110,0
fwd,49,21,76,0
rev,49,21,148,0
fwd,50,0,147,212
rev,50,0,149,84
fwd,50,1,194,9
rev,50,1,24,147
fwd,50,2,162,160
rev,50,2,44,46
fwd,50,3,245,161
rev,50,3,232,60
fwd,50,4,102,112
rev,50,4,222,212
fwd,50,5,175,80
rev,50,5,100,43
fwd,50,6,2,7
rev,50,6,7,2
fwd,50,16,63,0
rev,50,16,193,0
fwd,50,17,129,0
rev,50,17,173,0
fwd,50,18,116,0
rev,50,18,140,0
fwd,50,19,185,0
rev,50,19,71,0
fwd,50,20,146,0
rev,50,20,110,0
fwd,50,21,76,0
rev,50,21,148,0
fwd,51,0,19,60
rev,51,0,253,212
fwd,51,1,180,158
rev,51,1,231,9
fwd,51,2,20,203
rev,51,2,87,160
fwd,51,3,90,100
rev,51,3,171,161
fwd,51,4,2,225
rev,51,4,79,112
fwd,51,5,28,250
rev,51,5,254,80
fwd,51,6,7,14
rev,51,6,14,7
fwd,51,16,63,0
rev,51,16,193,0
fwd,51,17,129,0
rev,51,17,173,0
fwd,51,18,116,0
rev,51,18,140,0
fwd,51,19,185,0
rev,51,19,71,0
fwd,51,20,146,0
rev,51,20,110,0
fwd,51,21,76,0
rev,51,21,148,0
fwd,52,0,123,108
rev,52,0,45,60
fwd,52,1,171,50
rev,52,1,227,158
fwd,52,2,63,126
rev,52,2,10,203
fwd,52,3,29,228
rev,52,3,43,100
fwd,52,4,115,136
rev,52,4,246,225
fwd,52,5,86,7
rev,52,5,195,250
fwd,52,6,14,24
rev,52,6,24,14
fwd,52,16,63,0
rev,52,16,193,0
fwd,52,17,129,0
rev,52,17,173,0
fwd,52,18,116,0
rev,52,18,140,0
fwd,52,19,185,0
rev,52,19,71,0
fwd,52,20,146,0
rev,52,20,110,0
fwd,52,21,76,0
rev,52,21,148,0
fwd,53,0,171,67
rev,53,0,4,108
fwd,53,1,71,31
rev,53,1,58,50
fwd,53,2,242,173
rev,53,2,57,126
fwd,53,3,157,213
rev,53,3,28,228
fwd,53,4,26,182
rev,53,4,36,136
fwd,53,5,235,111
rev,53,5,235,7
fwd,53,6,24,35
rev,53,6,35,24
fwd,53,16,63,0
rev,53,16,193,0
fwd,53,17,129,0
rev,53,17,173,0
fwd,53,18,116,0
rev,53,18,140,0
fwd,53,19,185,0
rev,53,19,71,0
fwd,53,20,146,0
rev,53,20,110,0
fwd,53,21,76,0
rev,53,21,148,0
fwd,54,0,130,20
rev,54,0,213,67
fwd,54,1,134,225
rev,54,1,32,31
fwd,54,2,33,103
rev,54,2,243,173
fwd,54,3,142,155
rev,54,3,226,213
fwd,54,4,72,31
rev,54,4,141,182
fwd,54,5,147,190
rev,54,5,34,111
fwd,54,6,35,106
rev,54,6,106,35
fwd,54,16,63,0
rev,54,16,193,0
fwd,54,17,129,0
rev,54,17,173,0
fwd,54,18,116,0
rev,54,18,140,0
fwd,54,19,185,0
rev,54,19,71,0
fwd,54,20,146,0
rev,54,20,110,0
fwd,54,21,76,0
rev,54,21,148,0
fwd,55,0,83,223
rev,55,0,160,20
fwd,55,1,124,255
rev,55,1,218,225
fwd,55,2,219,196
rev,55,2,80,103
fwd,55,3,84,58
rev,55,3,129,155
fwd,55,4,177,182
rev,55,4,36,31
fwd,55,5,186,24
rev,55,5,236,190
fwd,55,6,106,157
rev,55,6,157,106
fwd,55,16,63,0
rev,55,16,193,0
fwd,55,17,129,0
rev,55,17,173,0
fwd,55,18,116,0
rev,55,18,140,0
fwd,55,19,185,0
rev,55,19,71,0
fwd,55,20,146,0
rev,55,20,110,0
fwd,55,21,76,0
rev,55,21,148,0
fwd,56,0,30,28
rev,56,0,221,223
fwd,56,1,38,214
rev,56,1,15,255
fwd,56,2,56,149
rev,56,2,33,196
fwd,56,3,243,7
rev,56,3,78,58
fwd,56,4,72,201
rev,56,4,55,182
fwd,56,5,36,37
rev,56,5,177,24
fwd,56,6,157,235
rev,56,6,235,157
fwd,56,7,0,1
rev,56,7,1,0
fwd,56,16,63,0
rev,56,16,193,0
fwd,56,17,129,0
rev,56,17,173,0
fwd,56,18,116,0
rev,56,18,140,0
fwd,56,19,185,0
rev,56,19,71,0
fwd,56,20,146,0
rev,56,20,110,0
fwd,56,21,76,0
rev,56,21,148,0
fwd,57,0,91,33
rev,57,0,226,28
fwd,57,1,147,154
rev,57,1,155,214
fwd,57,2,9,24
rev,57,2,164,149
fwd,57,3,192,82
rev,57,3,153,7
fwd,57,4,91,184
rev,57,4,38,201
fwd,57,5,185,117
rev,57,5,129,37
fwd,57,6,235,198
rev,57,6,198,235
fwd,57,7,1,2
rev,57,7,2,1
fwd,57,16,63,0
rev,57,16,193,0
fwd,57,17,129,0
rev,57,17,173,0
fwd,57,18,116,0
rev,57,18,140,0
fwd,57,19,185,0
rev,57,19,71,0
fwd,57,20,146,0
rev,57,20,110,0
fwd,57,21,76,0
rev,57,21,148,0
fwd,58,0,96,79
rev,58,0,16,33
fwd,58,1,63,180
rev,58,1,9,154
fwd,58,2,140,202
rev,58,2,86,24
fwd,58,3,11,135
rev,58,3,206,82
fwd,58,4,74,187
rev,58,4,41,184
fwd,58,5,137,108
rev,58,5,32,117
fwd,58,6,198,73
rev,58,6,73,198
fwd,58,7,2,7
rev,58,7,7,2
fwd,58,16,63,0
rev,58,16,193,0
fwd,58,17,129,0
rev,58,17,173,0
fwd,58,18,116,0
rev,58,18,140,0
fwd,58,19,185,0
rev,58,19,71,0
fwd,58,20,146,0
rev,58,20,110,0
fwd,58,21,76,0
rev,58,21,148,0
fwd,59,0,142,190
rev,59,0,127,79
fwd,59,1,125,123
rev,59,1,14,180
fwd,59,2,62,54
rev,59,2,194,202
fwd,59,3,64,37
rev,59,3,108,135
fwd,59,4,77,24
rev,59,4,134,187
fwd,59,5,152,122
rev,59,5,126,108
fwd,59,6,73,192
rev,59,6,192,73
fwd,59,7,7,15
rev,59,7,15,7
fwd,59,16,63,0
rev,59,16,193,0
fwd,59,17,129,0
rev,59,17,173,0
fwd,59,18,116,0
rev,59,18,140,0
fwd,59,19,185,0
rev,59,19,71,0
fwd,59,20,146,0
rev,59,20,110,0
fwd,59,21,76,0
rev,59,21,148,0
fwd,60,0,253,6
rev,60,0,199,190
fwd,60,1,58,73
rev,60,1,216,123
fwd,60,2,170,246
rev,60,2,130,54
fwd,60,3,222,66
rev,60,3,137,37
fwd,60,4,170,55
rev,60,4,165,24
fwd,60,5,214,106
rev,60,5,238,122
fwd,60,6,192,201
rev,60,6,201,192
fwd,60,7,15,19
rev,60,7,19,15
fwd,60,16,63,0
rev,60,16,193,0
fwd,60,17,129,0
rev,60,17,173,0
fwd,60,18,116,0
rev,60,18,140,0
fwd,60,19,185,0
rev,60,19,71,0
fwd,60,20,146,0
rev,60,20,110,0
fwd,60,21,76,0
rev,60,21,148,0
fwd,61,16,232,0
rev,61,16,24,0
fwd,61,17,184,0
rev,61,17,88,0
fwd,61,18,27,0
rev,61,18,229,0
fwd,61,19,116,0
rev,61,19,140,0
fwd,61,20,231,0
rev,61,20,25,0
fwd,61,21,90,0
rev,61,21,54,0
fwd,61,22,116,0
rev,61,22,140,0
fwd,61,23,35,0
rev,61,23,221,0
fwd,62,0,214,8
rev,62,0,32,238
fwd,62,1,129,104
rev,62,1,16,171
fwd,62,2,44,207
rev,62,2,180,17
fwd,62,3,42,172
rev,62,3,56,182
fwd,62,4,5,253
rev,62,4,22,30
fwd,62,5,206,94
rev,62,5,100,84
fwd,62,6,177,206
rev,62,6,90,61
fwd,62,7,89,124
rev,62,7,89,54
fwd,62,16,232,0
rev,62,16,24,0
fwd,62,17,184,0
rev,62,17,88,0
fwd,62,18,27,0
rev,62,18,229,0
fwd,62,19,116,0
rev,62,19,140,0
fwd,62,20,231,0
rev,62,20,25,0
fwd,62,21,90,0
rev,62,21,54,0
fwd,62,22,116,0
rev,62,22,140,0
fwd,62,23,35,0
rev,62,23,221,0
fwd,63,0,240,212
rev,63,0,236,8
fwd,63,1,176,18
rev,63,1,46,104
fwd,63,2,234,145
rev,63,2,118,207
fwd,63,3,32,176
rev,63,3,60,172
fwd,63,4,228,39
rev,63,4,64,253
fwd,63,5,104,31
rev,63,5,189,94
fwd,63,6,66,5
rev,63,6,145,206
fwd,63,7,159,247
rev,63,7,212,124
fwd,63,16,232,0
rev,63,16,24,0
fwd,63,17,184,0
rev,63,17,88,0
fwd,63,18,27,0
rev,63,18,229,0
fwd,63,19,116,0
rev,63,19,140,0
fwd,63,20,231,0
rev,63,20,25,0
fwd,63,21,90,0
rev,63,21,54,0
fwd,63,22,116,0
rev,63,22,140,0
fwd,63,23,35,0
rev,63,23,221,0
fwd,64,0,188,103
rev,64,0,127,212
fwd,64,1,30,104
rev,64,1,16,18
fwd,64,2,172,178
rev,64,2,151,145
fwd,64,3,36,5
rev,64,3,145,176
fwd,64,4,14,53
rev,64,4,78,39
fwd,64,5,209,177
rev,64,5,255,31
fwd,64,6,121,56
rev,64,6,196,5
fwd,64,7,26,168
rev,64,7,133,247
fwd,64,8,0,1
rev,64,8,1,0
fwd,64,16,232,0
rev,64,16,24,0
fwd,64,17,184,0
rev,64,17,88,0
fwd,64,18,27,0
rev,64,18,229,0
fwd,64,19,116,0
rev,64,19,140,0
fwd,64,20,231,0
rev,64,20,25,0
fwd,64,21,90,0
rev,64,21,54,0
fwd,64,22,116,0
rev,64,22,140,0
fwd,64,23,35,0
rev,64,23,221,0
fwd,65,0,79,238
rev,65,0,6,103
fwd,65,1,176,53
rev,65,1,7,104
fwd,65,2,205,94
rev,65,2,67,178
fwd,65,3,121,43
rev,65,3,183,5
fwd,65,4,28,79
rev,65,4,104,53
fwd,65,5,51,215
rev,65,5,181,177
fwd,65,6,172,46
rev,65,6,186,56
fwd,65,7,203,131
rev,65,7,96,168
fwd,65,8,1,2
rev,65,8,2,1
fwd,65,16,232,0
rev,65,16,24,0
fwd,65,17,184,0
rev,65,17,88,0
fwd,65,18,27,0
rev,65,18,229,0
fwd,65,19,116,0
rev,65,19,140,0
fwd,65,20,231,0
rev,65,20,25,0
fwd,65,21,90,0
rev,65,21,54,0
fwd,65,22,116,0
rev,65,22,140,0
fwd,65,23,35,0
rev,65,23,221,0
fwd,66,0,214,174
rev,66,0,198,238
fwd,66,1,143,193
rev,66,1,107,53
fwd,66,2,121,66
rev,66,2,39,94
fwd,66,3,159,25
rev,66,3,165,43
fwd,66,4,54,92
rev,66,4,117,79
fwd,66,5,73,35
rev,66,5,33,215
fwd,66,6,162,252
rev,66,6,136,46
fwd,66,7,166,48
rev,66,7,13,131
fwd,66,8,2,7
rev,66,8,7,2
fwd,66,16,232,0
rev,66,16,24,0
fwd,66,17,184,0
rev,66,17,88,0
fwd,66,18,27,0
rev,66,18,229,0
fwd,66,19,116,0
rev,66,19,140,0
fwd,66,20,231,0
rev,66,20,25,0
fwd,66,21,90,0
rev,66,21,54,0
fwd,66,22,116,0
rev,66,22,140,0
fwd,66,23,35,0
rev,66,23,221,0
fwd,67,0,150,145
rev,67,0,169,174
fwd,67,1,83,20
rev,67,1,212,193
fwd,67,2,93,252
rev,67,2,225,66
fwd,67,3,141,208
rev,67,3,92,25
fwd,67,4,67,12
rev,67,4,37,92
fwd,67,5,117,148
rev,67,5,170,35
fwd,67,6,112,179
rev,67,6,63,252
fwd,67,7,83,235
rev,67,7,200,48
fwd,67,8,7,11
rev,67,8,11,7
fwd,67,16,232,0
rev,67,16,24,0
fwd,67,17,184,0
rev,67,17,88,0
fwd,67,18,27,0
rev,67,18,229,0
fwd,67,19,116,0
rev,67,19,140,0
fwd,67,20,231,0
rev,67,20,25,0
fwd,67,21,90,0
rev,67,21,54,0
fwd,67,22,116,0
rev,67,22,140,0
fwd,67,23,35,0
rev,67,23,221,0
fwd,68,0,121,12
rev,68,0,36,145
fwd,68,1,212,126
rev,68,1,50,20
fwd,68,2,23,188
rev,68,2,161,252
fwd,68,3,68,178
rev,68,3,62,208
fwd,68,4,243,95
rev,68,4,120,12
fwd,68,5,14,39
rev,68,5,133,148
fwd,68,6,39,131
rev,68,6,15,179
fwd,68,7,14,29
rev,68,7,250,235
fwd,68,8,11,16
rev,68,8,16,11
fwd,68,16,232,0
rev,68,16,24,0
fwd,68,17,184,0
rev,68,17,88,0
fwd,68,18,27,0
rev,68,18,229,0
fwd,68,19,116,0
rev,68,19,140,0
fwd,68,20,231,0
rev,68,20,25,0
fwd,68,21,90,0
rev,68,21,54,0
fwd,68,22,116,0
rev,68,22,140,0
fwd,68,23,35,0
rev,68,23,221,0
fwd,69,0,244,241
rev,69,0,9,12
fwd,69,1,130,78
rev,69,1,162,126
fwd,69,2,215,108
rev,69,2,81,188
fwd,69,3,38,26
rev,69,3,166,178
fwd,69,4,70,67
rev,69,4,92,95
fwd,69,5,25,182
rev,69,5,252,39
fwd,69,6,247,132
rev,69,6,16,131
fwd,69,7,64,155
rev,69,7,120,29
fwd,69,8,16,52
rev,69,8,52,16
fwd,69,16,232,0
rev,69,16,24,0
fwd,69,17,184,0
rev,69,17,88,0
fwd,69,18,27,0
rev,69,18,229,0
fwd,69,19,116,0
rev,69,19,140,0
fwd,69,20,231,0
rev,69,20,25,0
fwd,69,21,90,0
rev,69,21,54,0
fwd,69,22,116,0
rev,69,22,140,0
fwd,69,23,35,0
rev,69,23,221,0
